Year,Rank,Player,Age,Team,First,Pts_Won,Pts_Max,MVP_Share,Games,MP,PTS,TRB,AST,STL,BLK,FG_Percentage,Three_Pt_Percentage,FT_Percentage,WS,WS_Per_48_Min
1964,5,Jerry West,25,LAL,2,39,480,0.081,72,40.4,28.7,6,5.6,,,0.484,,0.832,14,0.232
1963,1,Bill Russell,28,BOS,56,341,505,0.675,78,44.9,16.8,23.6,4.5,,,0.432,,0.555,13.5,0.185
1963,2,Elgin Baylor,28,LAL,19,221,505,0.438,80,42.1,34,14.3,4.8,,,0.453,,0.837,14.4,0.205
1963,3,Oscar Robertson,24,CIN,19,191,505,0.378,80,44,28.3,10.4,9.5,,,0.518,,0.81,16.8,0.229
1963,4,Bob Pettit,30,STL,3,84,505,0.166,79,39.1,28.4,15.1,3.1,,,0.446,,0.774,14.3,0.222
1963,5,Jerry West,24,LAL,2,19,505,0.038,55,39.3,27.1,7,5.6,,,0.461,,0.778,8.1,0.18
1962,1,Bill Russell,27,BOS,51,297,425,0.699,76,45.2,18.9,23.6,4.5,,,0.457,,0.595,15.5,0.217
1962,2,Wilt Chamberlain,25,PHW,9,152,425,0.358,80,48.5,50.4,25.7,2.4,,,0.506,,0.613,23.1,0.286
1962,3,Oscar Robertson,23,CIN,13,135,425,0.318,79,44.3,30.8,12.5,11.4,,,0.478,,0.803,15.6,0.214
1962,4,Elgin Baylor,27,LAL,3,82,425,0.193,48,44.4,38.3,18.6,4.6,,,0.428,,0.754,7.9,0.179
1962,5,Jerry West,23,LAL,6,60,425,0.141,75,41.2,30.8,7.9,5.4,,,0.445,,0.769,12.9,0.201
1961,1,Bill Russell,26,BOS,35,213,380,0.561,78,44.3,16.9,23.9,3.4,,,0.426,,0.55,13,0.181
1961,2,Bob Pettit,28,STL,14,125,380,0.329,76,39.8,27.9,20.3,3.4,,,0.447,,0.724,14.9,0.237
1961,3,Elgin Baylor,26,LAL,10,116,380,0.305,73,42.9,34.8,19.8,5.1,,,0.43,,0.783,14.8,0.227
1961,4,Wilt Chamberlain,24,PHW,3,81,380,0.213,79,47.8,38.4,27.2,1.9,,,0.509,,0.504,18.8,0.24
1961,5,Oscar Robertson,22,CIN,7,70,380,0.184,71,42.7,30.5,10.1,9.7,,,0.473,,0.822,13.2,0.21
1960,1,Wilt Chamberlain,23,PHW,49,270,395,0.684,72,46.4,37.6,27,2.3,,,0.461,,0.582,17,0.245
1960,2,Bill Russell,25,BOS,15,186,395,0.471,74,42.5,18.2,24,3.7,,,0.467,,0.612,13.8,0.211
1960,3,Bob Pettit,27,STL,3,106,395,0.268,72,40.2,26.1,17,3.6,,,0.438,,0.753,11.5,0.191
1960,4,Bob Cousy,31,BOS,8,66,395,0.167,75,34.5,19.4,4.7,9.5,,,0.384,,0.792,7.8,0.145
1960,5,Elgin Baylor,25,MNL,2,40,395,0.101,70,41,29.6,16.4,3.5,,,0.424,,0.732,11.5,0.192
1959,1,Bob Pettit,26,STL,59,317,410,0.773,72,39.9,29.2,16.4,3.1,,,0.438,,0.759,14.8,0.246
1959,2,Bill Russell,24,BOS,10,144,410,0.351,70,42.6,16.7,23,3.2,,,0.457,,0.598,12.9,0.208
1959,3,Elgin Baylor,24,MNL,2,88,410,0.215,70,40.8,24.9,15,4.1,,,0.408,,0.777,9.8,0.165
1959,4,Bob Cousy,30,BOS,4,71,410,0.173,65,37,20,5.5,8.6,,,0.384,,0.855,8.7,0.174
1959,5,Paul Arizin,30,PHW,1,39,410,0.095,70,40,26.4,9.1,1.7,,,0.431,,0.813,13,0.223
1958,1,Bill Russell,23,BOS,33,228,400,0.57,69,38.3,16.6,22.7,2.9,,,0.442,,0.519,11.3,0.206
1958,2,Dolph Schayes,29,SYR,25,198,400,0.495,72,40.5,24.9,14.2,3.1,,,0.398,,0.904,13.7,0.226
1958,3,George Yardley,29,DET,12,120,400,0.3,72,39.5,27.8,10.7,1.3,,,0.414,,0.811,12.3,0.208
1958,4,Bob Pettit,25,STL,4,97,400,0.243,70,36.1,24.6,17.4,2.2,,,0.41,,0.749,11,0.209
1958,5,Maurice Stokes,24,CIN,2,28,400,0.07,63,39,16.9,18.1,6.4,,,0.351,,0.715,4.5,0.088
1957,1,Bob Cousy,28,BOS,23,23,80,0.288,64,36.9,20.6,4.8,7.5,,,0.378,,0.821,8.8,0.178
1957,2,Bob Pettit,24,STL,21,21,80,0.263,71,35.1,24.7,14.6,1.9,,,0.415,,0.773,11.6,0.224
1957,3,Paul Arizin,28,PHW,9,9,80,0.113,71,39,25.6,7.9,2.1,,,0.422,,0.829,12.3,0.213
1957,4,Dolph Schayes,28,SYR,8,8,80,0.1,72,39.6,22.5,14,3.2,,,0.379,,0.904,12.5,0.211
1957,5,George Yardley,28,FTW,7,7,80,0.088,72,37.4,21.5,10.5,2,,,0.41,,0.787,10,0.179
1956,1,Bob Pettit,23,STL,33,33,80,0.413,72,38.8,25.7,16.2,2.6,,,0.429,,0.736,13.8,0.236
1956,2,Paul Arizin,27,PHW,21,21,80,0.263,72,37.8,24.2,7.5,2.6,,,0.448,,0.81,12.2,0.214
1956,3,Bob Cousy,27,BOS,11,11,80,0.138,72,38.4,18.8,6.8,8.9,,,0.36,,0.844,6.8,0.119
1956,4,Mel Hutchins,27,FTW,9,9,80,0.113,66,33.9,12,7.5,2.7,,,0.425,,0.643,4.4,0.095
1956,5,Dolph Schayes,27,SYR,2,2,80,0.025,72,35,20.4,12.4,2.8,,,0.387,,0.858,11.8,0.225
